"recnum","fc_num","contact_date","sex","race","age","build","hair_style","complexion","ethnicity","otherclothing"
100030138,F170023280,2017-01-17 21:59:00,Male,Black,26,Medium,,Medium Brown,Not of Hispanic Origin,
100032193,F170024652,2017-03-11 18:40:00,Male,Black,26,Medium,,Medium Brown,Not of Hispanic Origin,"BLACK HOODY, BLACK SWEATPANTS"
100030299,F170023402,2017-01-22 16:29:00,Male,Black,31,Thin,,Medium Brown,Not of Hispanic Origin,"GRAY CELTICS WINTER HAT, BLACK PUFFY JACKET, BLUE JEANS"
100033105,F170025141,2017-03-30 18:55:00,Male,Unknown,34,Small,Short,Light,Hispanic Origin,
100032392,F170024644,2017-03-06 08:35:00,Male,Black,22,Medium,Short,Medium,Not of Hispanic Origin,"BLACK COAT, BLUE JEANS, BLACK SNEAKERS"
100031839,F170024180,2017-02-17 10:50:00,Male,Black,22,Medium,Short,Medium,Not of Hispanic Origin,"GRTEEN COAT, BLUE JEANS, BLACK SNEAKERS"
100031494,F170024123,2017-02-21 17:10:00,Male,Black,40,Muscular,,Dark,Not of Hispanic Origin,"PURPLE, ORANGE AND BLUE MULTI COLORED/ PATTERN SWEATSHIRT WITH BLUE JEANS"
100032601,F170024873,2017-03-20 16:49:00,Male,Black,40,Muscular,,Dark,Not of Hispanic Origin,"GRAY HOODED SWEATSHIRT, LIGHT GRAY SWEAT PANTS AND BLACK SNEAKERS WITH GOLD TRIM."
100030673,F170023606,2017-01-30 17:35:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,
100029994,F170023179,2017-01-13 00:00:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,
100031535,F170024169,2017-02-23 14:03:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,
100031740,F170024339,2017-02-27 18:20:00,Male,Black,25,Small,Bald,Medium,Not of Hispanic Origin,
100031748,F170024338,2017-02-27 17:34:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,
100032784,F170024995,2017-03-24 22:06:00,Male,Black,25,Small,Short,Medium,Not of Hispanic Origin,BLACK PUFFY JACKET
100032843,F170024985,2017-03-24 21:09:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,
100032845,F170025018,2017-03-25 18:50:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,"BLACK HAT, BLACK PUFF JACKET, WHITE TEE SHIRT, GOLD CHAIN, GREY SWEATPANTS"
100032194,F170024654,2017-03-11 17:10:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,
100032102,F170024573,2017-03-08 16:30:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,
100033813,F170025622,2017-04-18 19:40:00,Male,Black,25,Small,,Medium,Not of Hispanic Origin,
100033786,F170025616,2017-04-18 18:30:00,Male,Black,34,Small,Short,Medium,Not of Hispanic Origin,
100033038,F170025174,2017-03-31 19:01:00,Male,Black,34,Small,,Medium,Not of Hispanic Origin,
100032757,F170024986,2017-03-24 18:34:00,Male,Black,34,Small,,Medium,Not of Hispanic Origin,
