recnum,fc_num,contact_date,sex,race,age,build,hair_style,complexion,ethnicity,otherclothing
100059337,F190041976,2019-01-24 07:47:00.0,Male,White,25,Thin,Curly,Light,Not of Hispanic Origin,"GRAY SWEATPANTS, GRAY SWEATSHIRT W/GREEN WRITTING, BLIKE NIKE SNEAKERS, BLACK WINTER HAT, BLUE TRAVEL SUITCASE, BLACK COAT ON TOP OF SUIT CASE"
100059503,F190042094,2019-01-29 01:25:00.0,Male,Black,43,Small,,Light Brown,Unknown,"GRY HOODIE, GRY SNOW PANTS"
100059279,F190041941,2019-01-22 16:48:00.0,Female,White,22,Medium,,,Hispanic Origin,
100059057,F190041796,2019-01-15 18:15:00.0,Male,White,55,Thin,,Light,Hispanic Origin,"BLUE PATRIOTS SWEATSHIRT, JEANS"
100059229,F190041901,2019-01-19 05:50:00.0,Male,Black,17,Thin,Short,Dark Brown,Not of Hispanic Origin,KNOWN GANG MEMBER (LENOX)
100059265,F190041905,2019-01-19 21:10:00.0,Male,White,19,,,,Hispanic Origin,"NAVY BLUE AND WHITE WIND BREAKER, BLUE JEANS."
100059453,F190042071,2019-01-28 14:20:00.0,Male,Black,19,Thin,,Medium Brown,Not of Hispanic Origin,"WHITE/BLACK/RED SNEAKERS, DARK COLORED JEANS, BLK BELT, BLACK NIKE HOODIE"
100059063,F190041793,2019-01-15 18:07:00.0,Male,Black,26,Small,Afro,Medium,Not of Hispanic Origin,"NE PATRIOS WINTER HAT, MAROON AND GREY JACKET, BLACK SWEATPANTS, BROWN BOOTS"
100059138,F190041857,2019-01-17 12:30:00.0,Female,Black,40,Stocky,,Medium,Unknown,"PLAID COAT, RED HOODY ON UNDER"
100059413,F190042025,2019-01-26 09:00:00.0,Female,White,28,,,,,"GREEN JACKET, GREY SWEATSHIRT, GREY SWEATPANTS"
100059516,F190042079,2019-01-27 19:30:00.0,Male,Black,20,,,,Unknown,
100059301,F190041902,2019-01-19 20:20:00.0,Male,Black,20,,,,Unknown,
