fc_num,contact_date,sex,race,age,build,hair_style,skin_tone,ethnicity,otherclothing,deceased,license_state,license_type,frisk/search
FC19001631,2019-12-08 04:21:00.0,Female,White,51,NULL,NULL,NULL,Unknown,NULL,0,MA,,NULL
FC19001631,2019-12-08 04:21:00.0,Female,White,24,Medium,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,NULL
FC19001631,2019-12-08 04:21:00.0,Male,Black,30,NULL,NULL,NULL,Not of Hispanic Origin,NULL,0,NULL,,NULL
FC19001697,2019-12-08 17:25:00.0,Male,Black,17,NULL,NULL,NULL,Unknown,NULL,0,NULL,,1
FC19001697,2019-12-08 17:25:00.0,Male,Black,17,NULL,NULL,NULL,Hispanic Origin,NULL,0,NULL,,1
FC19001697,2019-12-08 17:25:00.0,Male,Black,15,NULL,NULL,NULL,Hispanic Origin,NULL,0,NULL,,1
FC19001637,2019-12-08 21:25:00.0,Male,Black,37,Medium,Dreadlocks,Dark Brown,NULL,NULL,0,MA,,1
FC19001638,2019-12-09 00:50:00.0,Male,Black,28,NULL,NULL,NULL,Unknown,NULL,0,MA,Class D,0
FC19001638,2019-12-09 00:50:00.0,Female,Black,24,NULL,NULL,NULL,Unknown,NULL,0,MA,Class D,0
FC19001638,2019-12-09 00:50:00.0,Female,Unknown,,NULL,NULL,NULL,Unknown,NULL,0,NULL,,0
FC19001639,2019-12-09 01:00:00.0,Male,Black,33,Thin,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,1
FC19001642,2019-12-09 12:35:00.0,Female,White,36,Thin,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,NULL
FC19001642,2019-12-09 12:35:00.0,Female,White,36,Thin,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,NULL
FC19001642,2019-12-09 12:35:00.0,Male,Black,33,Medium,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,0
FC19001642,2019-12-09 12:35:00.0,Female,Black,29,Unknown,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,0
FC19001641,2019-12-09 13:03:00.0,Male,White,54,NULL,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,Class D,0
FC19001643,2019-12-09 14:46:00.0,Male,White,26,NULL,NULL,NULL,NULL,NULL,0,MA,,0
FC19001644,2019-12-09 15:20:00.0,Male,Black,34,Unknown,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,0
FC19001649,2019-12-09 16:25:00.0,Male,Black,17,Medium,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,1
FC19001649,2019-12-09 16:25:00.0,Male,Black,18,Thin,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,1
FC19001649,2019-12-09 16:25:00.0,Female,White,20,Medium,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,,1
FC19001646,2019-12-09 17:00:00.0,Male,Black,21,NULL,NULL,NULL,Not of Hispanic Origin,NULL,0,MA,Class D,0
FC19000217,2019-09-27 16:53:00.0,Male,White,21,NULL,NULL,NULL,Unknown,NULL,0,MA,Class D,1
FC19000217,2019-09-27 16:53:00.0,Male,Black,19,NULL,NULL,NULL,Unknown,NULL,0,NULL,,NULL
