"recnum","fc_num","contact_date","sex","race","age","build","hair_style","complexion","ethnicity","otherclothing"
"100008298","F150008288","2015-10-23 13:00:00.0000000","Male","White","26","Medium","","Light","Not of Hispanic Origin","ORANGE HAT, BLACK HOODIE, BLUE JEANS"
"100006319","F150006478","2015-09-24 05:00:00.0000000","Male","Black","29","Small","","Medium Brown","Not of Hispanic Origin","BLK HOODIE, BLK PANTS"
"100006919","F150007000","2015-10-07 15:00:00.0000000","Male","Black","38","Muscular","","Dark","Not of Hispanic Origin",""
"100006695","F150006807","2015-10-03 17:17:00.0000000","Male","Black","44","Medium","","Medium","Not of Hispanic Origin","RED SOX JERSEY, BLUE JEANS, WHITE SNEAKERS"
"100007225","F150007072","2015-10-08 18:10:00.0000000","Male","Black","31","Unknown","","Medium Brown","Not of Hispanic Origin","BLACKHAWKS HAT, BLK SWEATSHIRT, GRY SWEATPANTS"
"100005213","F150005515","2015-08-14 12:05:00.0000000","Male","White","46","Thin","Short","Light Brown","Hispanic Origin","GREY SHIRT, GREY SHORTS, BLACK SNEAKERS"
"100006674","F150006798","2015-10-03 14:45:00.0000000","Male","White","28","Small","Short","Medium","Not of Hispanic Origin","BLUE SWEATSHIRT,WHITE HAT,BLUE PANTS"
"100006333","F150006505","2015-09-24 12:50:00.0000000","Male","Unknown","46","Medium","","Medium","Hispanic Origin","RED T SHIRT,BLUE JEANS,BROWN SHOES."
"100008297","F150008288","2015-10-23 13:00:00.0000000","Male","White","31","Average","","Light","Not of Hispanic Origin","PURPLE HAT, BLACK HOODIE, BLUE JEANS"
"100008991","F150008885","2015-11-01 01:55:00.0000000","Male","Black","19","Medium","","Dark Brown","Unknown","NLACK HOODIE/ BLACK PANTS"
"100016478","F160014480","2015-08-10 20:55:00.0000000","Male","Black","22","Medium","","Medium Brown","Not of Hispanic Origin","WHITE TSHIRT, BLACK SHORTS, ORANGE SNEAKERS"
"100007194","F150007294","2015-10-12 18:00:00.0000000","Male","White","47","Medium","Receding / Thin","Medium","Not of Hispanic Origin","BLUE SWEATSHIRT, JEANS"
"100007777","F150007748","2015-10-17 20:25:00.0000000","Male","Black","47","Medium","","Medium Brown","Unknown","BLK/WHT STRIPED PAJAMA PANTS, BLK JACKET"
"100005847","F150006035","2015-09-03 10:15:00.0000000","Male","Black","52","Medium","Short","Medium Brown","Not of Hispanic Origin","RED SHIRT, BLUE JEANS, GREY SNEAKERS"
"100005514","F150005796","2015-08-25 10:05:00.0000000","Male","White","30","Average","","Light","Not of Hispanic Origin",""
"100007187","F150007262","2015-10-11 10:06:00.0000000","Female","White","23","Thin","","Light","Not of Hispanic Origin",""
"100005942","F150006159","2015-09-09 10:50:00.0000000","Male","White","44","Small","Short","Light","Not of Hispanic Origin","RED SHIRT, BLUE JEANS, BLACK SNEAKERS"
"100006173","F150006347","2015-09-18 17:38:00.0000000","Male","White","44","Small","","Light","Not of Hispanic Origin","WHITE TANK TOP, SHORTS"
"100007837","F150007924","2015-10-19 12:20:00.0000000","Male","White","44","Thin","Short","Light","Not of Hispanic Origin","ORANGE SHIRT, GREY PANTS, BROWN BOOTS"
"100005541","F150005813","2015-08-22 12:10:00.0000000","Male","White","18","Small","","Light","","BLACK SHIRT, BLUE JEANS, GREY SNEAKERS"
"100005506","F150005795","2015-08-25 10:05:00.0000000","Male","White","19","Small","","Light","Not of Hispanic Origin","GRAY SHIRT, JEANS"
"100004711","F150005170","2015-08-03 20:58:00.0000000","Male","White","19","Small","Short","Light","Not of Hispanic Origin","WHITE T SHIRT, BLUE JEANS"
"100006453","F150005293","2015-08-07 18:00:00.0000000","Male","Black","50","Medium","","Medium Brown","Not of Hispanic Origin",""
"100006817","F150006856","2015-10-06 09:16:00.0000000","Male","White","17","Medium","Curly","Light Brown","Hispanic Origin","WEARING EYE GLASSES, GRAY SWEAT SHIRT, CAMO PANTS, WHITE RED AND BLACK JORDAN 5 SNEAKERS."
"100006321","F150006485","2015-09-18 09:30:00.0000000","Male","White","44","Thin","Short","Light","Not of Hispanic Origin","RED SHIRT, BLACK SHORTS, GREY SNEAKERS"
"100006592","F150006712","2015-10-01 00:00:00.0000000","Male","White","53","Medium","Bald","Light","","WHITE SHIRT,BLUE JEANS, BLUE HAT,NECK TATTOO"
"100010570","F150010104","2015-09-08 22:50:00.0000000","Male","White","47","Small","","Light","","GRAY T-SHIRT, BLUE PANTS"
"100014846","F160013201","2015-08-03 22:43:00.0000000","Male","Black","38","","Braids","Dark","Not of Hispanic Origin","HAT, BLACK T SHIRT
DREADS"
"100009067","F150008806","2015-10-28 17:30:00.0000000","Male","Black","18","Medium","Short","Dark Brown","Not of Hispanic Origin",""
"100005539","F150005812","2015-08-26 08:20:00.0000000","Male","Black","18","Medium","Short","Dark Brown","Not of Hispanic Origin","BLACK SHIRT, GREY SHORTS, GREY SNEAKERS"
"100006471","F150006536","2015-09-25 15:00:00.0000000","Male","Black","18","Medium","","Dark Brown","Not of Hispanic Origin",""
"100006728","F150006825","2015-10-05 00:20:00.0000000","Male","Black","18","Medium","","Dark Brown","Not of Hispanic Origin","WHITE T SHIRT, GRY SWEAT PANTS"
"100006467","F150006597","2015-09-27 14:30:00.0000000","Male","White","51","Medium","","Medium","Not of Hispanic Origin","FLORAL BUTTON DOWN,CAMO SHORTS,WHT SNKEAKERS."
"100007215","F150007318","2015-08-18 19:00:00.0000000","Male","Black","27","Medium","","Fair","","WHITE TSHIRT; GRAY JEANS; WHITE SNEAKERS"
"100010178","F150009719","2015-09-09 19:00:00.0000000","Male","Black","38","Small","","Dark","Not of Hispanic Origin","LONG PONYTAIL DREADS, BLUE T-SHIRT, JEANS"
"100005092","F150005463","2015-08-13 16:25:00.0000000","Male","White","29","Medium","Short","Medium","Not of Hispanic Origin","BLUE PATRIOTS T-SHIRT & BLUE JEANS"
"100008790","F150008658","2015-10-28 14:26:00.0000000","Male","Black","42","Small","Short","Dark Brown","","BLACK JACKET, BLACK HOODIE, BLUE JEANS"
"100007920","F150007941","2015-08-10 19:05:00.0000000","Male","Black","38","Small","Braids","Dark","Not of Hispanic Origin","LONG DREADS, BLACK BASEBALL HAT
BLACK SHIRT, JEANS"
"","F150004408","2015-01-24 02:48:00.0000000","","","","","","","",""
"","F150008194","2015-02-25 10:10:00.0000000","","","","","","","",""
"","F150008432","2015-01-24 02:48:00.0000000","","","","","","","",""
"100007879","F150007913","2015-01-22 09:45:00.0000000","Male","Black","25","Medium","Afro","Medium Brown","Not of Hispanic Origin","BEARD/AFRO
GRAY HOODIE, BLACK SWEATPANTS"
"100004344","F150004806","2015-04-21 21:30:00.0000000","Male","Black","27","Medium","","Medium","Hispanic Origin","BLUE HOODIE/ JEANS"
"100004331","F150004809","2015-04-21 21:25:00.0000000","Male","Black","32","Small","","Medium","Not of Hispanic Origin","RED HOODIE/ JEANS"
"100006980","F150007119","2015-03-02 19:01:00.0000000","Male","Black","37","Medium","","Medium","","BLACK JACKET, BLACK JEANS"
"100017006","F160014811","2015-03-02 19:45:00.0000000","Male","Black","19","Small","Braids","","Not of Hispanic Origin","THIN BEARD, BRAIDS
GRAY SWEATSHIRT"
"100007514","F150007620","2015-04-24 18:31:00.0000000","Male","Black","23","Medium","Braids","Dark","Not of Hispanic Origin","BLACK SWEATSHIRT, BLACK PANTS"
"100004718","F150005124","2015-02-19 20:47:00.0000000","Female","Black","25","Small","","Dark Brown","","MULTI-COLORED JACKET/ DARK PANTS"
