"fc_num","contact_date","sex","race","age","build","hair_style","skin_tone","ethnicity","otherclothing","deceased","license_state","license_type","frisk/search"
FC20000004,2020-01-01 00:00:00,Male,,"38",,,,Hispanic Origin,,"0",,"","1"
FC20000075,2020-01-01 00:00:00,Female,White,"29",,,Light,,,"0",MA,"","0"
FC20000001,2020-01-01 01:30:00,Male,White,"28",,,,Unknown,,"0",,"","0"
FC20000002,2020-01-01 06:53:00,Male,Black,"48",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000002,2020-01-01 06:53:00,Male,White,"34",Thin,Short,Light,,,"0",MA,"","0"
FC20000003,2020-01-01 10:02:00,Male,Black,"14",Thin,Afro,Dark Brown,,,"0",MA,"","1"
FC20000008,2020-01-01 18:00:00,Male,Black,"23",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000009,2020-01-01 18:44:00,Male,Black,"21",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000009,2020-01-01 18:44:00,Male,Black,"23",,,,Unknown,,"0",MA,Class D,"0"
FC20000011,2020-01-01 19:15:00,Male,Black,"36",,,,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000005,2020-01-01 19:23:00,Male,Unknown,"38",,,,Unknown,,"0",,"",
FC20000005,2020-01-01 19:23:00,Male,Unknown,"40",,,,Unknown,,"0",CT,Class D,"1"
FC20000012,2020-01-01 19:27:00,Male,Black,"40",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000007,2020-01-01 19:40:00,Male,Black,"23",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000007,2020-01-01 19:40:00,Male,Black,"22",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000007,2020-01-01 19:40:00,Male,White,"18",,,,Hispanic Origin,,"0",,"","0"
FC20000020,2020-01-01 20:05:00,Male,Asian,"53",Thin,Unkempt,Yellow,Not of Hispanic Origin,,"0",MA,"","1"
FC20000020,2020-01-01 20:05:00,Male,Asian,"36",Heavy,Short,Light,Not of Hispanic Origin,,"0",MA,"","1"
FC20000020,2020-01-01 20:05:00,Male,Asian,"24",,,,Not of Hispanic Origin,,"0",,"",
FC20000010,2020-01-01 21:10:00,Male,White,"22",Medium,Curly,,,,"0",MA,"","1"
FC20000006,2020-01-01 21:40:00,Male,White,"46",Medium,,,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000034,2020-01-01 22:35:00,Male,Black,"24",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000013,2020-01-02 01:26:00,Male,Black,"25",,,,Unknown,,"0",MA,Class D,"0"
FC20000014,2020-01-02 02:15:00,Male,Black,"35",Stocky,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000015,2020-01-02 02:34:00,Male,White,"29",Medium,,,Hispanic Origin,,"0",MA,"","0"
