"fc_num","contact_date","sex","race","age","build","hair_style","skin_tone","ethnicity","otherclothing","deceased","license_state","license_type","frisk/search"
FC20000016,2020-01-02 04:27:00,Male,Black,"62",Medium,,,Hispanic Origin,,"0",,"","1"
FC20000025,2020-01-02 08:35:00,Male,Black,"62",Medium,Bald or Balding,Medium Brown,,,"0",MA,"","1"
FC20000024,2020-01-02 08:35:00,Male,White,"28",,,,,,"0",,"","0"
FC20000037,2020-01-02 09:30:00,Male,Black,"30",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000022,2020-01-02 10:45:00,Male,Black,"32",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000021,2020-01-02 11:30:00,Male,White,"21",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000023,2020-01-02 13:08:00,Male,White,"27",,,,Unknown,,"0",,"",
FC20000023,2020-01-02 13:08:00,Male,Black,"28",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000023,2020-01-02 13:08:00,Male,Black,"53",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000028,2020-01-02 16:20:00,Male,Black,"46",Thin,Short,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000036,2020-01-02 17:45:00,Male,Black,"27",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000030,2020-01-02 18:00:00,Male,Black,"15",,,,,,"0",,"","0"
FC20000030,2020-01-02 18:00:00,Male,Black,"16",,,,,,"0",,"","0"
FC20000030,2020-01-02 18:00:00,Male,Black,"15",,,,Unknown,,"0",,"","1"
FC20000026,2020-01-02 18:10:00,Male,Black,"16",Heavy,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000026,2020-01-02 18:10:00,Male,Black,"14",,,,Unknown,,"0",,"","0"
FC20000027,2020-01-02 18:40:00,Male,Unknown,"23",,,,Hispanic Origin,,"0",,"","1"
FC20000033,2020-01-02 19:43:00,Male,White,"32",,,,Not of Hispanic Origin,,"0",,"",
FC20000033,2020-01-02 19:43:00,Male,White,"33",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000035,2020-01-02 21:54:00,Male,Black,"19",,,Medium Brown,,,"0",MA,"","1"
FC20000035,2020-01-02 21:54:00,Male,Black,"24",Thin,,,Hispanic Origin,,"0",MA,"","1"
FC20000031,2020-01-02 22:13:00,Male,White,"46",Medium,,,Not of Hispanic Origin,,"0",MA,Class D,"0"
FC20000042,2020-01-03 00:00:00,Female,White,"27",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000042,2020-01-03 00:00:00,Male,White,"48",Unknown,,,Unknown,,"0",,"","0"
FC20000042,2020-01-03 00:00:00,Male,Black,"53",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000042,2020-01-03 00:00:00,Male,,"42",,,,,,"0",,"","0"
FC20000042,2020-01-03 00:00:00,Male,White,"39",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000043,2020-01-03 00:55:00,Male,Black,"26",Heavy,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000038,2020-01-03 01:00:00,Male,Black,"43",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000044,2020-01-03 01:18:00,Male,Unknown,"30",,,,Unknown,,"0",MA,Class D,"0"
FC20000039,2020-01-03 01:27:00,Male,White,"21",Thin,,,Hispanic Origin,,"0",MA,"","0"
FC20000039,2020-01-03 01:27:00,Male,Black,"51",,,,,,"0",MA,"","0"
FC20000039,2020-01-03 01:27:00,Male,White,"43",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000045,2020-01-03 01:29:00,Male,Black,"30",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000040,2020-01-03 02:15:00,Male,Black,"28",Medium,,,Hispanic Origin,,"0",MA,"","1"
FC20000041,2020-01-03 02:15:00,Male,White,"18",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000063,2020-01-03 09:00:00,Male,White,"25",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000063,2020-01-03 09:00:00,Male,Black,"26",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000063,2020-01-03 09:00:00,Female,White,"38",,,,Not of Hispanic Origin,,"0",MA,Personal Driver License,"0"
FC20000049,2020-01-03 09:09:00,Male,White,"37",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000049,2020-01-03 09:09:00,Male,White,"46",,Short,,Hispanic Origin,,"0",MA,"","0"
FC20000049,2020-01-03 09:09:00,Male,White,"44",Medium,,,Hispanic Origin,,"0",MA,"","0"
FC20000047,2020-01-03 09:13:00,Female,Black,"32",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000046,2020-01-03 09:26:00,Male,White,"33",,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000046,2020-01-03 09:26:00,Male,White,"33",,,,Unknown,,"0",MA,"","0"
FC20000048,2020-01-03 13:10:00,Female,Black,"19",Medium,Curly,,,,"0",MA,"","1"
FC20000048,2020-01-03 13:10:00,Male,Black,"25",Medium,Short,,,,"0",MA,"ID - Had a License, now has ID","0"
FC20000050,2020-01-03 13:15:00,Male,Black,"20",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000050,2020-01-03 13:15:00,Male,Black,"19",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000050,2020-01-03 13:15:00,Male,White,"16",Thin,,,Hispanic Origin,,"0",MA,"","1"
FC20000050,2020-01-03 13:15:00,Male,Black,"17",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000101,2020-01-03 15:23:00,Male,Black,"37",Medium,,Black,Not of Hispanic Origin,,"0",MA,Class D,"0"
FC20000051,2020-01-03 17:45:00,Male,,"23",,,,,,"0",MA,Class D,"0"
FC20000051,2020-01-03 17:45:00,Male,Black,"24",Medium,,,Hispanic Origin,,"0",MA,"","0"
FC20000051,2020-01-03 17:45:00,Male,White,"31",,,,Hispanic Origin,,"0",MA,"","0"
FC20000051,2020-01-03 17:45:00,Male,White,"24",Heavy,,,Hispanic Origin,,"0",MA,"","0"
FC20000051,2020-01-03 17:45:00,Female,White,"30",Medium,,,Hispanic Origin,,"0",MA,"","0"
FC20000051,2020-01-03 17:45:00,Male,Black,"28",Medium,Braided,Medium Brown,Hispanic Origin,,"0",MA,ID Only - Never had Personal Driver License,"0"
FC20000062,2020-01-03 17:48:00,Male,Black,"23",,,,Hispanic Origin,,"0",MA,Class D,"1"
FC20000062,2020-01-03 17:48:00,Male,Black,"24",,,,Hispanic Origin,,"0",MA,Class D,"1"
FC20000062,2020-01-03 17:48:00,Male,White,"24",Heavy,,,Hispanic Origin,,"0",MA,"","1"
FC20000054,2020-01-03 18:00:00,Male,White,"54",,,,Unknown,,"0",,"","1"
FC20000060,2020-01-03 18:45:00,Male,Black,"19",,,,Hispanic Origin,,"0",MA,"","1"
FC20000060,2020-01-03 18:45:00,Male,Black,"17",,,,Not of Hispanic Origin,,"0",,"","1"
FC20000052,2020-01-03 19:15:00,Male,White,"49",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000073,2020-01-03 19:49:00,Male,Black,"15",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000073,2020-01-03 19:49:00,Male,Black,"17",,,,Not of Hispanic Origin,,"0",,"",
FC20000073,2020-01-03 19:49:00,Male,Black,"18",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000073,2020-01-03 19:49:00,Male,Black,"16",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000073,2020-01-03 19:49:00,Male,Black,"15",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000073,2020-01-03 19:49:00,Female,Black,"16",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000073,2020-01-03 19:49:00,Female,Black,"17",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000068,2020-01-03 20:00:00,Male,Unknown,"59",,,,Hispanic Origin,,"0",MA,No License - Record Only,"1"
FC20000068,2020-01-03 20:00:00,Male,Black,"34",Stocky,,,Hispanic Origin,,"0",MA,"","1"
FC20000068,2020-01-03 20:00:00,Female,White,"48",Medium,,,Hispanic Origin,,"0",MA,"","0"
FC20000059,2020-01-03 20:08:00,Male,White,"31",,,,Hispanic Origin,,"0",MA,"","0"
FC20000058,2020-01-03 20:11:00,Male,Black,"34",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000055,2020-01-03 20:45:00,Male,White,"18",,,,Hispanic Origin,,"0",,"","1"
FC20000061,2020-01-03 20:53:00,Male,Black,"24",,,,Not of Hispanic Origin,,"0",MA,Class D,"0"
FC20000053,2020-01-03 21:00:00,Male,White,"46",Stocky,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000056,2020-01-03 21:02:00,Male,White,"16",,,,Hispanic Origin,,"0",MA,ID Only - Never had Personal Driver License,"0"
FC20000056,2020-01-03 21:02:00,Male,Black,"23",Medium,Braided,Dark Brown,Not of Hispanic Origin,,"0",MA,ID Only - Never had Personal Driver License,"0"
FC20000056,2020-01-03 21:02:00,Male,White,"18",,,,Hispanic Origin,,"0",,"","0"
FC20000057,2020-01-03 22:00:00,Male,Black,"20",Thin,Dreadlocks,Medium Brown,,,"0",MA,"","1"
FC20000057,2020-01-03 22:00:00,Female,Black,"21",,,,Unknown,,"0",,"","1"
FC20000064,2020-01-03 23:15:00,Male,Black,"26",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000067,2020-01-04 00:37:00,Male,White,"22",Medium,,,Hispanic Origin,,"0",MA,"","0"
FC20000067,2020-01-04 00:37:00,Male,White,"23",Thin,Short,Light,,,"0",MA,"","1"
FC20000067,2020-01-04 00:37:00,Male,White,"20",,,,Hispanic Origin,,"0",MA,"","0"
FC20000067,2020-01-04 00:37:00,Male,White,"18",Heavy,,,Hispanic Origin,,"0",MA,"","0"
FC20000071,2020-01-04 00:50:00,Male,Black,"21",,,,Hispanic Origin,,"0",,"","1"
FC20000066,2020-01-04 01:05:00,Male,White,"27",Medium,,Light,Hispanic Origin,,"0",MA,"","1"
FC20000065,2020-01-04 01:54:00,Male,Black,"28",,,,Hispanic Origin,,"0",MA,Class D,"0"
FC20000069,2020-01-04 02:00:00,Male,Black,"26",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000070,2020-01-04 02:01:00,Male,Black,"22",Medium,,,Hispanic Origin,,"0",MA,"","0"
FC20000077,2020-01-04 02:45:00,Male,Black,"36",,,,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000072,2020-01-04 08:06:00,Male,White,"36",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000074,2020-01-04 09:45:00,Male,Black,,,,,Hispanic Origin,,"0",MA,"","1"
FC20000074,2020-01-04 09:45:00,Male,White,"44",,,,Hispanic Origin,,"0",,"","1"
FC20000078,2020-01-04 15:50:00,Male,White,"42",,,,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000076,2020-01-04 16:18:00,Female,White,"20",,,,Hispanic Origin,,"0",MA,ID Only - Never had Personal Driver License,"0"
FC20000076,2020-01-04 16:18:00,Male,White,"21",,,,Hispanic Origin,,"0",MA,Class D,"0"
FC20000076,2020-01-04 16:18:00,Male,White,"21",,,,Hispanic Origin,,"0",MA,Class D,
FC20000081,2020-01-05 01:03:00,Male,Black,"21",Medium,Short,Medium Brown,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000081,2020-01-05 01:03:00,Female,Black,"28",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000079,2020-01-05 01:10:00,Male,Black,"28",,,,Hispanic Origin,,"0",MA,Class D,"1"
FC20000082,2020-01-05 03:00:00,Male,White,"24",Medium,Short,,,,"0",MA,"","1"
FC20000080,2020-01-05 03:05:00,Male,White,"27",Thin,,,Hispanic Origin,,"0",MA,"","0"
FC20000083,2020-01-05 11:40:00,Male,White,"46",Muscular,Short,Fair,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000085,2020-01-05 14:58:00,Male,White,"25",Thin,Short,,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000085,2020-01-05 14:58:00,Male,Black,"30",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000086,2020-01-05 15:33:00,Male,Black,"19",Thin,Braided,Dark Brown,,,"0",MA,"","1"
FC20000090,2020-01-05 16:35:00,Male,Black,"40",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000464,2020-01-05 17:02:00,Male,Black,"51",Medium,,Medium,,,"0",MA,"","1"
FC20000464,2020-01-05 17:02:00,Male,Black,"56",Stocky,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000464,2020-01-05 17:02:00,Male,White,"54",,,,Not of Hispanic Origin,,"0",,"","1"
FC20000087,2020-01-05 17:15:00,Male,Black,"14",,,,Not of Hispanic Origin,,"0",,"","1"
FC20000088,2020-01-05 20:40:00,Male,Other,"24",,,,Hispanic Origin,,"0",MA,Class D,"1"
FC20000088,2020-01-05 20:40:00,Male,Black,"20",,,,,,"0",,"","1"
FC20000089,2020-01-05 21:30:00,Male,White,"37",,,,Not of Hispanic Origin,,"0",,"","1"
FC20000106,2020-01-06 00:00:00,Male,Black,"28",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000102,2020-01-06 00:00:00,Male,Black,"33",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000091,2020-01-06 00:26:00,Male,White,"38",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000093,2020-01-06 00:30:00,Female,Black,"23",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000099,2020-01-06 00:33:00,Male,White,"29",,,,Unknown,,"0",MA,Class D,"1"
FC20000092,2020-01-06 00:38:00,Male,White,"44",Medium,,,Hispanic Origin,,"0",MA,"","0"
FC20000097,2020-01-06 00:45:00,Male,Black,"36",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000097,2020-01-06 00:45:00,Female,Black,"31",,,,Not of Hispanic Origin,,"0",GA,"",
FC20000096,2020-01-06 01:21:00,Male,Black,,,,,Unknown,,"0",,"","1"
FC20000096,2020-01-06 01:21:00,Male,Black,"39",Heavy,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000096,2020-01-06 01:21:00,Male,Black,"41",,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000096,2020-01-06 01:21:00,Male,Black,"39",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000095,2020-01-06 02:45:00,Male,Black,"34",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000100,2020-01-06 04:25:00,Male,Black,"22",Medium,Curly,Medium,,,"0",MA,"","1"
FC20000103,2020-01-06 08:50:00,Male,Black,"40",Medium,,,Not of Hispanic Origin,,"0",MA,"ID - Had a License, now has ID","1"
FC20000104,2020-01-06 11:34:00,Male,White,"32",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000105,2020-01-06 13:52:00,Male,White,"36",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000105,2020-01-06 13:52:00,Male,White,"35",,,,Unknown,,"0",MA,"ID - Had a License, now has ID","1"
FC20000115,2020-01-06 15:30:00,Male,Black,"38",Medium,Dreadlocks,Medium Brown,,,"0",MA,"","1"
FC20000115,2020-01-06 15:30:00,Female,Black,"38",Heavy,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000109,2020-01-06 16:40:00,Female,White,,,,,Unknown,,"0",,"",
FC20000109,2020-01-06 16:40:00,Male,White,"57",,,,Not of Hispanic Origin,,"0",MA,Class D,"0"
FC20000112,2020-01-06 17:30:00,Male,Unknown,"21",,,,,,"0",,"","0"
FC20000112,2020-01-06 17:30:00,Male,Black,"20",,,,,,"0",,"","0"
FC20000117,2020-01-06 17:49:00,Male,Black,"31",,,,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000116,2020-01-06 17:50:00,Female,White,"43",,,,Not of Hispanic Origin,,"0",MA,Personal Driver License,"0"
FC20000111,2020-01-06 18:27:00,Male,White,"30",Thin,,,Hispanic Origin,,"0",MA,"ID - Had a License, now has ID","1"
FC20000111,2020-01-06 18:27:00,Male,Black,"30",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000124,2020-01-06 18:50:00,Male,Black,"19",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000113,2020-01-06 19:32:00,Male,Black,"29",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000125,2020-01-06 20:49:00,Male,Black,"21",,,,,,"0",MA,Class D,"0"
FC20000114,2020-01-06 21:00:00,Male,Black,"21",Heavy,,,Hispanic Origin,,"0",MA,"","0"
FC20000114,2020-01-06 21:00:00,Male,Black,"20",Thin,,,Not of Hispanic Origin,,"0",MA,"",
FC20000114,2020-01-06 21:00:00,Male,Black,"19",,,,Hispanic Origin,,"0",,"",
FC20000118,2020-01-06 23:15:00,Male,Black,"42",,,,Unknown,,"0",MA,Personal Driver License,"0"
FC20000126,2020-01-07 00:00:00,Male,White,"57",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000120,2020-01-07 00:30:00,Male,Black,"31",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000121,2020-01-07 00:49:00,Male,Black,"18",Thin,,,Hispanic Origin,,"0",MA,"","0"
FC20000121,2020-01-07 00:49:00,Male,Black,"16",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000119,2020-01-07 01:15:00,Male,White,"34",Thin,Short,Light,,,"0",MA,"","0"
FC20000119,2020-01-07 01:15:00,Male,White,"28",,,,,,"0",,"","0"
FC20000122,2020-01-07 04:00:00,Female,Black,"41",Thin,Unkempt,Medium Brown,Unknown,,"0",MA,Class D,"0"
FC20000122,2020-01-07 04:00:00,Male,Black,"49",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000153,2020-01-07 08:17:00,Male,Black,"25",,Short,Medium,,,"0",MA,"","1"
FC20000129,2020-01-07 09:10:00,Male,Black,"23",Medium,Short,Dark Brown,,,"0",MA,"","1"
FC20000123,2020-01-07 09:20:00,Male,Black,"23",,,,Unknown,,"0",MA,Class D,"0"
FC20000123,2020-01-07 09:20:00,Male,Black,"26",,,,Unknown,,"0",MA,Class D,"0"
FC20000128,2020-01-07 11:59:00,Male,Black,"17",,,,Unknown,,"0",MA,ID Only - Never had Personal Driver License,"0"
FC20000130,2020-01-07 12:00:00,Male,White,"19",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000130,2020-01-07 12:00:00,Male,Black,"21",,,,Not of Hispanic Origin,,"0",,"","1"
FC20000130,2020-01-07 12:00:00,Male,Black,"20",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000130,2020-01-07 12:00:00,Male,Black,"19",,,,Not of Hispanic Origin,,"0",,"","1"
FC20000135,2020-01-07 13:15:00,Male,White,"53",Stocky,Short,Dark Brown,,,"0",MA,"","1"
FC20000135,2020-01-07 13:15:00,Male,White,"29",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000135,2020-01-07 13:15:00,Male,Black,"29",Unknown,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000133,2020-01-07 13:51:00,Male,Black,"18",,,,Unknown,,"0",MA,No License - Record Only,"1"
FC20000133,2020-01-07 13:51:00,Male,Black,"18",Thin,Short,Dark,,,"0",MA,"","1"
FC20000133,2020-01-07 13:51:00,Male,Black,"19",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000133,2020-01-07 13:51:00,Male,Black,"19",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000133,2020-01-07 13:51:00,Female,Black,"17",,,,Unknown,,"0",MA,ID Only - Never had Personal Driver License,"1"
FC20000139,2020-01-07 14:25:00,Male,Black,"54",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000142,2020-01-07 15:00:00,Male,Black,"22",Thin,,Medium Brown,,,"0",MA,"","0"
FC20000131,2020-01-07 15:20:00,Male,Black,"38",Heavy,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000154,2020-01-07 16:00:00,Male,Black,"28",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000154,2020-01-07 16:00:00,Male,Black,"20",Medium,,Dark Brown,Not of Hispanic Origin,,"0",MA,"","1"
FC20000154,2020-01-07 16:00:00,Male,Black,"30",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000154,2020-01-07 16:00:00,Male,Black,"31",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000134,2020-01-07 17:15:00,Male,Black,"30",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000141,2020-01-07 17:15:00,Male,,"21",Thin,Short,Medium,,,"0",MA,"","1"
FC20000136,2020-01-07 17:35:00,Male,Black,"32",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000137,2020-01-07 17:50:00,Male,Black,"29",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000143,2020-01-07 18:05:00,Male,Black,"25",,,,Not of Hispanic Origin,,"0",MA,Class D,"0"
FC20000138,2020-01-07 18:25:00,Male,Black,"22",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000140,2020-01-07 18:35:00,Male,Black,"31",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000144,2020-01-07 18:54:00,Male,Black,"25",,,,Not of Hispanic Origin,,"0",MA,"ID - Had a License, now has ID","1"
FC20000147,2020-01-07 18:54:00,Female,Black,"47",,,,Not of Hispanic Origin,,"0",MA,ID Only - Never had Personal Driver License,"0"
FC20000148,2020-01-07 22:22:00,Male,Black,"27",Medium,,,Not of Hispanic Origin,,"0",MA,Class D,"1"
FC20000149,2020-01-07 23:05:00,Male,Black,"26",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000160,2020-01-08 00:00:00,Male,Black,"20",Muscular,Short,Medium,,,"0",MA,"","1"
FC20000184,2020-01-08 00:00:00,Male,Black,"21",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000184,2020-01-08 00:00:00,Male,Black,"21",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000160,2020-01-08 00:00:00,Male,Black,"18",Thin,Short,Dark Brown,,,"0",MA,"","1"
FC20000164,2020-01-08 00:00:00,Male,,"23",,,,,,"0",,"","1"
FC20000160,2020-01-08 00:00:00,Male,Black,"19",Thin,Afro,Dark Brown,,,"0",MA,Class D,"1"
FC20000164,2020-01-08 00:00:00,Male,,"56",,,,Hispanic Origin,,"0",,"","1"
FC20000150,2020-01-08 01:00:00,Male,White,"43",,,,Not of Hispanic Origin,,"0",MA,Class D,"0"
FC20000151,2020-01-08 01:19:00,Male,Black,"22",,,,Hispanic Origin,,"0",MA,Class D,"1"
FC20000151,2020-01-08 01:19:00,Male,Black,"19",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000151,2020-01-08 01:19:00,Male,Black,"19",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000152,2020-01-08 01:50:00,Male,Black,"19",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000152,2020-01-08 01:50:00,Male,Black,"19",,,,,,"0",MA,"","1"
FC20000155,2020-01-08 10:01:00,Male,Black,"33",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000156,2020-01-08 11:24:00,Female,White,"44",,,,,,"0",,"","0"
FC20000158,2020-01-08 13:45:00,Male,Black,"18",,,,,,"0",,"","1"
FC20000158,2020-01-08 13:45:00,Male,Black,"28",Medium,,Medium Brown,,,"0",MA,"","1"
FC20000159,2020-01-08 15:15:00,Male,Black,"31",Medium,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000159,2020-01-08 15:15:00,Male,Black,"30",Thin,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000169,2020-01-08 17:37:00,Male,Black,"21",Heavy,,,Not of Hispanic Origin,,"0",MA,"","1"
FC20000161,2020-01-08 17:48:00,Male,White,"56",Thin,Other,Fair,Not of Hispanic Origin,,"0",MA,"","1"
FC20000165,2020-01-08 18:18:00,Male,White,"45",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000165,2020-01-08 18:18:00,Male,White,"33",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000165,2020-01-08 18:18:00,Male,White,"36",Thin,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000165,2020-01-08 18:18:00,Female,White,"32",,,,Not of Hispanic Origin,,"0",,"","0"
FC20000165,2020-01-08 18:18:00,Female,White,"33",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
FC20000167,2020-01-08 18:43:00,Male,,"21",Medium,Short,Medium,,,"0",MA,"","1"
FC20000162,2020-01-08 19:43:00,Male,Black,"23",Medium,,,Not of Hispanic Origin,,"0",MA,"","0"
