"recnum","fc_num","contact_date","sex","race","age","build","hair_style","complexion","ethnicity","otherclothing"
,F180032310,2018-01-10 00:00:00,,,,,,,,
,F180032311,2018-01-10 00:00:00,,,,,,,,
,F180032313,2018-01-10 00:00:00,,,,,,,,
100044903,F180032393,2018-01-02 09:25:00,Male,White,46,Thin,Short,Fair,Not of Hispanic Origin,"BLUE JACKET, BLUE JEANS, BLACK SNEAKERS"
100044627,F180032263,2018-01-07 18:00:00,Male,Black,18,,,,Unknown,"BLK COAT, BLUE JEANS"
100044629,F180032264,2018-01-08 01:25:00,Male,Black,20,Small,,Medium,Unknown,
100044709,F180032347,2018-01-11 02:15:00,Female,White,35,Small,,Light,Unknown,
100044601,F180032235,2018-01-03 18:57:00,Male,Black,26,Medium,,Medium Brown,Not of Hispanic Origin,"BLACK""BON ME""SWEATER"
100044621,F180032256,2018-01-06 17:43:00,Male,Black,20,Average,,,Unknown,"BLACK HOODED SWEATSHIRT, BLUE JEANS"
100044607,F180032242,2018-01-02 20:35:00,Male,Black,23,Small,,Light,Unknown,
100044638,F180032271,2018-01-08 12:00:00,Male,Black,34,Thin,,Dark Brown,,
100044524,F180032195,2018-01-01 01:46:00,Male,Black,37,Small,,Medium Brown,,
100044721,F180032355,2018-01-11 00:00:00,Male,Black,17,Thin,,Medium Brown,Not of Hispanic Origin,
100044634,F180032270,2018-01-08 13:30:00,Male,Black,32,Small,,Medium,Not of Hispanic Origin,WEARING A RED HOODED JACKET
100044587,F180032232,2018-01-03 21:33:00,Male,Black,26,Small,Short,Dark Brown,Not of Hispanic Origin,
100044609,F180032244,2018-01-02 21:45:00,Male,Black,34,Medium,,Medium,Not of Hispanic Origin,
100044637,F180032271,2018-01-08 12:00:00,Male,Black,37,Medium,,Dark,Not of Hispanic Origin,
100044578,F180032217,2018-01-02 17:57:00,Male,Black,28,Small,,Light,Unknown,
100044557,F180032205,2018-01-02 02:30:00,Male,Black,27,Medium,,Medium,,
100044780,F180032284,2018-01-08 06:03:00,Male,Black,28,Medium,,Medium Brown,Not of Hispanic Origin,
100044904,F180032394,2018-01-02 12:00:00,Male,Black,30,Small,Short,Medium Brown,Unknown,"BLUE JACKET, BLUE JEANS, BLACK SNEAKERS"
100044598,F180032237,2018-01-03 19:05:00,Male,Black,30,Small,,Medium Brown,Not of Hispanic Origin,
100045297,F180032240,2018-01-04 02:45:00,Male,Black,29,Medium,,Medium Brown,Not of Hispanic Origin,"BLACK KNIT HAT, BLACK QUARTER LENGTH COAT, BLUE JEANS"
100044568,F180032225,2018-01-03 02:53:00,Male,Black,26,Thin,,Medium Brown,Not of Hispanic Origin,
100044579,F180032218,2018-01-02 19:39:00,Male,Black,25,Medium,,Dark Brown,Not of Hispanic Origin,
100044580,F180032216,2018-01-02 21:57:00,Male,Black,25,Thin,,Medium,Not of Hispanic Origin,
100044623,F180032262,2018-01-07 17:16:00,Male,Black,26,Medium,,Medium Brown,,
100044581,F180032219,2018-01-02 19:27:00,Male,White,40,Heavy,,Light,Hispanic Origin,
100044577,F180032217,2018-01-02 17:57:00,Male,Black,33,Medium,,Dark Brown,Unknown,"ALL DARK CLOTHING, BRAIDS"
100044787,F180032302,2018-01-08 18:45:00,Male,Black,28,Medium,Short,Medium Brown,Not of Hispanic Origin,
100044563,F180032221,2018-01-03 01:00:00,Male,White,66,Medium,,Light,Not of Hispanic Origin,"GRAY HOODED SWEATSHIRT, LIGHT COLORED JEANS"
100044588,F180032232,2018-01-03 21:33:00,Female,Black,45,Medium,Long,Medium Brown,Not of Hispanic Origin,
100044640,F180032280,2018-01-08 00:00:00,Male,Black,39,Medium,,Dark Brown,,"GREY KNIT CAP, GREY JACKET, BLUE PANTS, BLACK BOOTS"
100044556,F180032204,2018-01-01 03:00:00,Male,White,24,,,,Not of Hispanic Origin,"BLACK JACKET, BLACK SWEATPANTS"
100044567,F180032224,2018-01-03 02:47:00,Male,Black,27,,,,Not of Hispanic Origin,
100044615,F180032249,2018-01-02 13:00:00,Male,White,51,Heavy,Short,Light,Not of Hispanic Origin,"BLUE NORTHFACE FLEECE JACKET, BLUE JEANS"
100044564,F180032215,2018-01-02 18:30:00,Male,Black,49,Medium,Bald,Light Brown,Not of Hispanic Origin,
100044599,F180032234,2018-01-03 19:30:00,Female,Black,19,,,,,DARK JACKET WITH PINK COLORED PAJAMAS
100057430,F180040633,2018-11-25 11:00:00,Male,White,47,Thin,Short,Fair,Not of Hispanic Origin,"GREY HOODIE, BLUE JEANS, WHITE SNEAKERS"
100057380,F180040618,2018-11-25 00:24:00,Male,Black,22,Medium,,Medium Brown,Not of Hispanic Origin,
100057391,F180040635,2018-11-25 00:24:00,Male,Black,21,Small,,Medium,Not of Hispanic Origin,
100057223,F180040535,2018-11-18 18:45:00,Male,Black,27,Medium,,Medium Brown,Not of Hispanic Origin,
100057326,F180040572,2018-11-20 21:15:00,Male,Black,38,Medium,,Dark Brown,Not of Hispanic Origin,"BLACK CAP, RED JACKET, GREY SWEATPANTS, MEDIUM BEARD"
100057228,F180040531,2018-11-18 09:30:00,Male,Black,24,Heavy,,Medium Brown,Not of Hispanic Origin,
100057338,F180040587,2018-11-21 19:07:00,Male,Black,23,Small,,Medium,,
100057335,F180040587,2018-11-21 19:07:00,Male,Black,23,Small,,Light Brown,Hispanic Origin,
100057384,F180040621,2018-11-25 12:20:00,Male,Black,26,Small,,Dark,Not of Hispanic Origin,
100057194,F180040518,2018-11-17 10:30:00,Male,Black,27,Muscular,,Dark Brown,Not of Hispanic Origin,
100057225,F180040535,2018-11-18 18:45:00,Male,White,41,Heavy,,Light,Hispanic Origin,
100057516,F180040685,2018-11-24 18:15:00,Male,Unknown,18,Heavy,,Brown,Unknown,
100057195,F180040518,2018-11-17 10:30:00,Male,Unknown,18,Heavy,,Brown,Unknown,
100057388,F180040628,2018-11-24 19:00:00,Male,Black,54,,,,Not of Hispanic Origin,"BROWN WINTER HAT, READING GLASSES, GREY NORTHFACE JACKET, DARK DRESS PANTS, BROWN DRESS SHOES"
100057260,F180040549,2018-11-19 19:40:00,Male,Black,27,Average,,Light Brown,Not of Hispanic Origin,
100057364,F180040614,2018-11-24 16:30:00,Female,White,32,,,,Unknown,"BLUE JEANS, GREEN COAT, GREY SWEATSHIRT, BROKEN FOOT WITH LEG WHEEL CHAIR"
100057369,F180040618,2018-11-25 00:24:00,Male,Black,29,Thin,,Medium,Unknown,
100057357,F180040609,2018-11-24 10:45:00,Male,Black,29,Thin,,Medium,Unknown,"BLACK HOODIE, BLACK PANTS"
100057329,F180040598,2018-11-23 17:00:00,Male,Black,17,Medium,,Light Brown,Unknown,GREEN HOODY AND BLACK SHORTS
100057379,F180040618,2018-11-25 00:24:00,Male,Black,22,Thin,,,Not of Hispanic Origin,"GRAY/RED CHICAGO BULLS HAT, ORANGE T SHIRT, GRAY SWEAT PANTS"
100057393,F180040637,2018-11-24 23:32:00,Male,Black,21,Thin,,Dark Brown,Not of Hispanic Origin,
100057170,F180040491,2018-11-16 19:08:00,Male,Black,28,Stocky,,Dark Brown,Not of Hispanic Origin,
