"recnum","fc_num","contact_date","sex","race","age","build","hair_style","complexion","ethnicity","otherclothing"
"100012536","F160011526","2016-01-01 01:00:00.0000000","Male","Black","35","Medium","Short","Medium Brown","Not of Hispanic Origin",""
"100012545","F160011534","2016-01-01 14:00:00.0000000","Male","Black","46","Medium","Short","Light Brown","Not of Hispanic Origin","BLACK HOODED SWEATSHIRT, BLUE JEANS"
"100012544","F160011533","2016-01-01 14:48:00.0000000","Male","Black","23","Small","Braids","Medium Brown","Not of Hispanic Origin","BLACK COAT WITH WHITE LETTERING, BLACK JEANS, BLACK AND WHITE HAT"
"100012498","F160011540","2016-01-01 18:00:00.0000000","Male","Black","15","Medium","","Dark Brown","Not of Hispanic Origin","RED HOODED SWEATSHIRT, JEANS, SANDALS W/SOCKS"
"100012493","F160011531","2016-01-01 03:30:00.0000000","Male","White","47","Medium","","","","YELLOW JACKET, BLACK RUNNING PANTS"
"100012496","F160011530","2016-01-01 02:53:00.0000000","Male","Black","31","Medium","Short","Light Brown","","WEARING BLUE BLAZER, RED DRESS SHIRT, AND BLUE PANTS"
"100012667","F160011538","2016-01-01 19:17:00.0000000","Male","White","34","Medium","Long","Fair","Not of Hispanic Origin","BLUE/BLACK JACKET BROWN SHIRT BLUE JEANS."
"100012681","F160011536","2016-01-01 18:15:00.0000000","Male","Black","19","Heavy","","","Not of Hispanic Origin","GRAY HOODED SWEATSHIRT, BLACK JEANS."
"100012682","F160011537","2016-01-01 18:38:00.0000000","Male","Black","20","Small","","Medium","Not of Hispanic Origin","BLACK PUFFY COAT, BLACK JEANS, BLUE COLLARED SHIRT, BLACK SNEAKERS, BLUE KNIT ""B"" (RED SOX) HAT, BLACK BACKPACK, BLACK ROLLER LUGGAGE."
"100012564","F160011548","2016-01-01 21:56:00.0000000","Female","Black","28","Thin","Afro","Medium","","BLACK SHIRT, BLACK COAT, DARK PANTS"
"100012497","F160011530","2016-01-01 02:53:00.0000000","Female","Black","25","Medium","Long","Medium Brown","",""
"100012558","F160011547","2016-01-01 22:30:00.0000000","Male","Black","24","Thin","Short","Dark","",""
"100012561","F160011548","2016-01-01 21:56:00.0000000","Male","Black","25","Small","","Dark Brown","","BLACK WOOL HAT, BLACK PANTS, BLACK SNEAKERS"
"100012504","F160011541","2016-01-01 22:41:00.0000000","Male","Black","47","Small","","Light","",""
"100012562","F160011548","2016-01-01 21:56:00.0000000","Male","Black","15","Medium","","Dark Brown","Not of Hispanic Origin","BLACK SWEAT SHIRT, BLACK PANTS, BLACK SNEAKERS"
"100012556","F160011547","2016-01-01 22:30:00.0000000","Male","Black","24","Small","Short","Dark Brown","Not of Hispanic Origin",""
"100012503","F160011541","2016-01-01 22:41:00.0000000","Male","White","44","Medium","","Medium","",""
"100012506","F160011541","2016-01-01 22:41:00.0000000","Male","Black","47","Small","","Light","",""
"100012505","F160011541","2016-01-01 22:41:00.0000000","Male","Black","55","Medium","","Medium","",""
"100012552","F160011545","2016-01-01 23:00:00.0000000","Male","Black","22","Small","Short","Dark","Not of Hispanic Origin","BLACK SWEATSHIRT, BLUE JEANS"
"100012553","F160011546","2016-01-01 22:46:00.0000000","Female","White","31","Medium","Long","Light Brown","Hispanic Origin","BLACK LEATHER JACKET, BLUE SHIRT, BLACK YOGA PANTS"
